Outlet,Type,Contact Email,Notes
The Atlanta Voice,Print/Digital,info@theatlantavoice.com,Black and African American news & perspectives
Creative Loafing,Print/Digital,news@creativeloafing.com,"Arts, entertainment, culture"
AJC (Atlanta Journal-Constitution),Print,news@ajc.com; editorial@ajc.com,Major daily newspaper
Atlanta Magazine,Print,contact@atlantamagazine.com,Lifestyle and culture magazine
Atlanta Civic Circle,Digital,info@atlantaciviccircle.org,Nonprofit civic journalism
Rough Draft Atlanta,Digital,editor@roughdraftatlanta.com,Hyperlocal neighborhoods coverage
Decaturish,Digital,editor@decaturish.com,Decatur community news
Patch Atlanta,Digital,via site contact forms,Networked local sites
ARTS ATL,Digital,info@artsatl.org,Atlanta arts coverage
WSB-TV (ABC 2),TV,newstips@wsbtv.com,ABC affiliate
FOX 5 Atlanta (WAGA-TV),TV,fox5tips@foxtv.com,FOX affiliate
11Alive (WXIA-TV),TV,newstips@11alive.com,NBC affiliate
Atlanta News First (WANF),TV,newsdesk@wanf.com,CBS affiliate
Peachtree TV (WPCH-TV),TV,use WANF email,CW affiliate (shared with WANF)
WABE (TV/Radio),TV,news@wabe.org,PBS affiliate / NPR radio
WGTV (GPB),TV,ask@gpb.org,Georgia Public Broadcasting
Univision Atlanta (WUVG-DT),TV,noticiasatlanta@univision.net,Univision Spanish-language
Telemundo Atlanta (WKTB-CD),TV,noticiastlmdatlanta@telemundo.com,Telemundo Spanish-language
WUPA (Channel 69),TV,info@cwatlanta.cbslocal.com,Independent CW station
WSB 95.5 FM / 750 AM,Radio News/Talk,wsbradio@coxinc.com,Top news/talk powerhouse
WABE 90.1 FM,Radio News/Talk,news@wabe.org,NPR/Classical
WAOK 1380 AM,Radio News/Talk,WAOKNews@audacy.com,Urban news/talk
WRAS 88.5 FM,Radio News/Talk,wras@gsu.edu,College radio / GPB hybrid
WBIN 640 AM,Radio News/Talk,news@binnews.com,Black Information Network
V-103 (WVEE),Radio Music,info@v-103.com; promotions@v-103.com,Urban/Hip-Hop
Hot 107.9 (WHTA),Radio Music,info@hotspotatl.com,Urban/Hip-Hop
Streetz 94.5 (W233BF),Radio Music,contact@streetz945atl.com,Urban
Majic 107.5 / 97.5,Radio Music,contact@majicatl.com,Urban AC
Kiss 104.1 (WALR),Radio Music,kiss1041@coxinc.com,Urban Oldies
WCLK 91.9 FM,Radio Music,info@wclk.com,Jazz / NPR affiliate
Praise 102.5 (WPZE),Radio Music,info@praise1025.com,Gospel
Georgia Tech Radio (WREK),Radio College,contact@wrek.org,Georgia Tech student-run
WRFG 89.3 FM,Radio Community,wrfg@wrfg.org,Community variety radio
Hypepotamus,Digital,editor@hypepotamus.com,Covers startups & tech
What Now Atlanta,Digital,tips@whatnowatlanta.com,Tracks restaurant/business openings
The Atlanta Inquirer,Print,editor@atlinquirer.com,Black weekly newspaper
Georgia Asian Times,Print,gatimes@aol.com,Asian community newspaper
El Nuevo Georgia,Print,contacto@elnuevogeorgia.com,Spanish-language suburban newspaper
Atlanta Jewish Times,Print,editor@atljewishtimes.com,Jewish community weekly
CNN / HLN / CNN International,National Cable,via corporate/PR desks,Headquartered in Atlanta
TBS / TNT / Adult Swim (Warner Bros. Discovery),National Cable,via WBDiscovery PR,Major cable networks operations
The Weather Channel,Cable,press@weather.com; mediarelations@weather.com,Regional Weather network HQ
Gray Television,Media Group,info@gray.tv,Large broadcast owner
Cox Enterprises,Media Conglomerate,corpcomm@coxinc.com,Parent company of multiple outlets
Bally Sports South & Southeast,Regional Sports,press@sports.sbgnet.com,Regional sports network
